Date,AFE.JO,ARL.JO,VKE.JO,TSG.JO,TCP.JO,SPG.JO,TON.JO,FFB.JO,RLO.JO,RBP.JO,SUI.JO,CML.JO,JSE.JO,FFA.JO,LBH.JO,NPK.JO,PSG.JO,MUR.JO,AIP.JO,AEG.JO,BAT.JO,HYP.JO,RES.JO,AVI.JO,INL.JO,ARI.JO,PIK.JO,PPC.JO,ACL.JO,MSM.JO,LHC.JO,SPP.JO,CCO.JO,NTC.JO,BAW.JO,EXX.JO,RDF.JO,NRP.JO,TKG.JO,CLS.JO,TRU.JO,SAP.JO,DSY.JO,CPI.JO,TFG.JO,KIO.JO,HAR.JO,GRT.JO,TBS.JO,MRP.JO,NED.JO,WHL.JO,REM.JO,BVT.JO,MNP.JO,SLM.JO,SHP.JO,VOD.JO,APN.JO,AMS.JO,SNH.JO,ABG.JO,GFI.JO,IMP.JO,BTI.JO,ANG.JO,FSR.JO,CFR.JO,SBK.JO,BHP.JO,MTN.JO,SOL.JO,AGL.JO,NPN.JO
2000-02-15,203568.0,,,22412.0,,62146.0,19060.0,,1143191.0,,,70368.0,,,19266.0,0.0,1519562.0,77167.0,,200125.0,124290.0,,,339661.0,790597.0,35304.0,651115.0,836840.0,272936.0,239479.0,0.0,,,1244776.0,1944055.0,,,,,650375.0,239479.0,986229.0,184829.0,824973.0,339476.0,,437358.0,,637740.0,236881.0,331264.0,8712027.0,24868.0,,,5020916.0,1398230.0,,21192.0,179940.0,24326.0,656468.0,1314810.0,2056472.0,5800.0,288993.0,5250082.0,0.0,2637431.0,4587450.0,1303510.0,1127698.0,348712.0,545276.0
2000-02-16,271041.0,,,333897.0,,123493.0,156906.0,,57000.0,,,64749.0,,,56043.0,0.0,196834.0,417967.0,,906130.0,332430.0,,,482229.0,748408.0,6815.0,234722.0,15032.0,95906.0,211394.0,20000.0,,,1226491.0,1485193.0,,,,,221900.0,211394.0,1161715.0,76460.0,673077.0,137198.0,,245384.0,,565808.0,446606.0,264562.0,2783562.0,13655.0,,,3108039.0,146572.0,,40457.0,120505.0,177055.0,413363.0,1411385.0,2335696.0,3100.0,474948.0,7743665.0,0.0,1652112.0,6287157.0,1910911.0,1143788.0,378560.0,406998.0
2000-02-17,235326.0,,,9067.0,,53842.0,185321.0,,585412.0,,,75765.0,,,22212.0,0.0,422756.0,146984.0,,1701020.0,82366.0,,,347137.0,510412.0,522289.0,1266365.0,122061.0,1684419.0,229068.0,0.0,,,2047159.0,2067592.0,,,,,2278652.0,229068.0,966869.0,24240.0,1511460.0,851586.0,,894858.0,,539286.0,2055.0,207343.0,11205898.0,1211243.0,,,3175781.0,539000.0,,1064461.0,126269.0,145478.0,705458.0,2393355.0,1881072.0,282500.0,605369.0,8605919.0,0.0,1350755.0,5432049.0,2486629.0,1843229.0,705068.0,148753.0
2000-02-18,227035.0,,,24248.0,,38043.0,140435.0,,80097.0,,,28209.0,,,22539.0,0.0,1007311.0,259372.0,,97288.0,29628.0,,,63243.0,547206.0,277003.0,515111.0,75160.0,835406.0,148331.0,2000.0,,,1595026.0,1205181.0,,,,,270982.0,148331.0,390154.0,1633703.0,256609.0,449527.0,,300318.0,,1329620.0,2024.0,159089.0,7348145.0,11254.0,,,3098140.0,1034617.0,,85255.0,124126.0,178637.0,1144773.0,1986390.0,2201376.0,2600.0,405619.0,4986156.0,0.0,920867.0,2138251.0,3114916.0,4554917.0,264628.0,117274.0
2000-02-21,127156.0,,,15131.0,,29010.0,37759.0,,196504.0,,,15307.0,,,17061.0,0.0,127438.0,85302.0,,16718830.0,37183.0,,,788794.0,423978.0,59778.0,5000.0,152726.0,643602.0,230982.0,14700.0,,,135073.0,5238657.0,,,,,303660.0,230982.0,787162.0,3523.0,749373.0,571277.0,,218760.0,,353894.0,15244.0,107475.0,3466485.0,0.0,,,2428415.0,134628.0,,17524.0,67280.0,2806164.0,727482.0,3071347.0,782184.0,0.0,147744.0,2850117.0,0.0,1303179.0,1445372.0,863564.0,319490.0,284648.0,203409.0
2000-02-22,274070.0,,,4809.0,,47968.0,68895.0,,76369.0,,,62904.0,,,107841.0,0.0,3687665.0,1926446.0,,35742.0,46664.0,,,240900.0,350212.0,288788.0,216182.0,27716446.0,70239.0,396661.0,0.0,,,208591.0,1428780.0,,,,,288722.0,396661.0,1337136.0,76835.0,737497.0,297638.0,,213220.0,,1613252.0,1518.0,135862.0,411098.0,2358.0,,,2351351.0,67413.0,,4904.0,181332.0,15147.0,880726.0,1318980.0,1531752.0,500.0,233952.0,5062769.0,0.0,1201893.0,1541659.0,1705866.0,455971.0,256256.0,624175.0
2000-02-23,76979.0,,,38125.0,,123365.0,96963.0,,12832.0,,,176118.0,,,122814.0,0.0,1243118.0,459110.0,,8814060.0,162363.0,,,163113.0,499719.0,128683.0,375214.0,11330791.0,232822.0,958519.0,20000.0,,,285385.0,592770.0,,,,,436843.0,958519.0,838679.0,639206.0,2187367.0,10423.0,,163787.0,,193871.0,67817.0,216565.0,2189213.0,0.0,,,3349197.0,841391.0,,314832.0,180419.0,216536.0,1169947.0,1699431.0,4029424.0,0.0,329951.0,9405300.0,0.0,1694686.0,2533691.0,2936483.0,1830389.0,277368.0,308258.0
2000-02-24,78392.0,,,14838.0,,63011.0,66881.0,,24646.0,,,64996.0,,,40692.0,0.0,146683.0,149342.0,,181200.0,63997.0,,,488232.0,258042.0,69870.0,615119.0,0.0,613695.0,1589611.0,17300.0,,,162563.0,1384305.0,,,,,420968.0,1589611.0,576743.0,159796.0,1670276.0,3307382.0,,202390.0,,752823.0,0.0,214512.0,755190.0,20580.0,,,3386683.0,2596423.0,,99900.0,217719.0,361111.0,655387.0,811604.0,2545736.0,4800.0,311013.0,6678854.0,0.0,531937.0,2229819.0,3644338.0,2754448.0,359268.0,717374.0
2000-02-25,318012.0,,,41226.0,,338630.0,184756.0,,80062.0,,,143852.0,,,52425.0,0.0,1245916.0,516071.0,,298499.0,59256.0,,,113202.0,350391.0,53066.0,178822.0,114845.0,1531060.0,244680.0,14700.0,,,582803.0,823219.0,,,,,612604.0,244680.0,1549760.0,237891.0,803245.0,119241.0,,164924.0,,263943.0,141239.0,379510.0,647437.0,127890.0,,,3598384.0,271460.0,,137511.0,104454.0,70274.0,333965.0,655799.0,3305360.0,29800.0,375229.0,15606259.0,0.0,2426838.0,2205158.0,1789621.0,1214869.0,442260.0,821621.0
2000-02-28,325863.0,,,15333.0,,29624.0,56095.0,,71271.0,,,93840.0,,,8445.0,0.0,571308.0,272887.0,,1617967.0,4296.0,,,284616.0,281216.0,84003.0,31318.0,849617.0,311059.0,466994.0,0.0,,,250490.0,739124.0,,,,,282343.0,466994.0,571903.0,73543.0,235986.0,216262.0,,365052.0,,78809.0,232447.0,202179.0,782856.0,108578.0,,,1235338.0,31900.0,,21370.0,60795.0,6215338.0,946693.0,660178.0,1178480.0,25300.0,303978.0,4694383.0,0.0,1576706.0,1559565.0,692813.0,1652340.0,156884.0,196809.0
